,year,sex,age,read_write,head_house,home_dept,mex_port,trans_crossm,coyote_usd,trans_crossu,reason,fellow_trav,country,deported,first_citynew,second_citynew,long_citynew,us_entrynew,mex_port_lat,mex_port_long,us_entry_lat,us_entry_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long
294,2017,Mujer,30,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,"Ciudad Hidalgo, Chiapas","Balsas (cámaras de llanta, tambos, maderos)",3500,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,4,El Salvador,USA,"Reynosa , Tamaulipas","Monterrey , Nuevo León","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,16.0869461,-93.7612856,16.7516009,-93.1029939
295,2017,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Colón,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Benito Juárez , Distrito Federal","Acayucan , Veracruz de Ignacio de la Llave","Veracruz , Veracruz de Ignacio de la Llave","San Luis Río Colorado , Sonora",14.679726,-92.150326,32.206599,-115.005363,14.9055599,-92.26342059999999,16.5611267,-95.0963141,16.5611267,-95.0963141
296,2017,Hombre,42,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,La Paz,"El Ceibo, Tabasco",Autobús o camioneta,4000,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Heróica Puebla de Zaragoza , Puebla","Acayucan , Veracruz de Ignacio de la Llave","Coyoacán , Distrito Federal","Altar , Sonora",17.261546,-90.994378,31.093813,-111.889791,14.9055599,-92.26342059999999,19.3437444,-99.1561883,19.3437444,-99.1561883
297,2017,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Gracias a Dios,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,3500,Ninguno (caminando o nadando),Trabajar,3,El Salvador,USA,"Heróica Puebla de Zaragoza , Puebla","Veracruz , Veracruz de Ignacio de la Llave","Tuxtla Gutiérrez , Chiapas","Piedras Negras , Coahuila de Zaragoza",14.679726,-92.150326,28.70196,-100.521922,14.9055599,-92.26342059999999,19.0414398,-98.2062727,22.1564699,-100.9855409
298,2017,Hombre,56,Sí,Sí,Cortés,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Ninguno (caminando o nadando),Trabajar,Ninguna,El Salvador,USA,"Acayucan , Veracruz de Ignacio de la Llave","Coyoacán , Distrito Federal","Monterrey , Nuevo León","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,21.9985181,-99.64248719999999,21.9985181,-99.64248719999999
299,2017,Hombre,29,Sí,No,Colón,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"Chiapa de Corzo , Chiapas","Monterrey , Nuevo León","Monterrey , Nuevo León","Nuevo Laredo , Tamaulipas",14.679726,-92.150326,27.41546,-99.541843,17.5229209,-91.9872616,16.2371385,-93.8986279,16.2371385,-93.8986279
300,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Comayagua,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"San Antonio Tecómitl , Distrito Federal","Casa Blanca , Puebla","Monterrey , Nuevo León","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,15.137663,-92.46591889999999,17.472665,-91.425051,17.472665,-91.425051
301,2017,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Cortés,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Autobús o camioneta,Buscar trabajo,Ninguna,El Salvador,USA,"Huixtla , Chiapas","Delicias , Chihuahua","Tierra Blanca , Veracruz de Ignacio de la Llave","Tijuana , Baja California",14.679726,-92.150326,32.500863,-116.964166,16.0869461,-93.7612856,20.5279612,-100.8112885,20.5279612,-100.8112885
302,2017,Hombre,19,Sí,No,Cortés,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Autobús o camioneta,Buscar trabajo,Ninguna,El Salvador,USA,"Palenque , Chiapas","Coyoacán , Distrito Federal","Coyoacán , Distrito Federal","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,14.9055599,-92.26342059999999,16.2371385,-93.8986279,16.2371385,-93.8986279
303,2017,Hombre,18,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,2500,Automóvil particular,Buscar trabajo,Ninguna,El Salvador,USA,"San Cristóbal de las Casas , Chiapas","Villahermosa , Tabasco","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859,17.989456,-92.9475061,17.5229209,-91.9872616,17.5229209,-91.9872616
