,year,sex,age,read_write,head_house,home_dept,mex_port,fellow_travs,trans_crossm,coyote_usd,country,deported,first_citynew,second_citynew,long_citynew,deported_place,mex_port_lat,mex_port_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long,deported_lat,deported_long
33,2017,Hombre,20,Aprobó de básicos-secundaria en adelante,Sí,Ocotepeque,"Cuauhtémoc, Chiapas",3,"Balsas (cámaras de llanta, tambos, maderos)",En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Huixtla , Chiapas","Tapachula de Córdova y Ordóñez , Chiapas","Tapachula, Chiapas",15.665483,-92.003579,14.9055599,-92.26342059999999,15.137663,-92.46591889999999,14.9055599,-92.26342059999999,14.9055599,-92.26342059999999
34,2017,Mujer,39,Sí,Sí,Ocotepeque,"Ciudad Hidalgo, Chiapas",2,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Huixtla , Chiapas","Motozintla de Mendoza , Chiapas","Comitán de Domínguez, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,15.137663,-92.46591889999999,15.3691977,-92.2458096,16.2299602,-92.1155691
35,2017,Mujer,33,Sí,Sí,Colón,"Ciudad Hidalgo, Chiapas",2,"Balsas (cámaras de llanta, tambos, maderos)",En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tuxtla Gutiérrez , Chiapas","Huixtla , Chiapas","Huixtla , Chiapas","Huixtla, Chiapas",14.679726,-92.150326,16.7516009,-93.1029939,15.137663,-92.46591889999999,15.137663,-92.46591889999999,15.137663,-92.46591889999999
36,2017,Hombre,21,Aprobó de básicos-secundaria en adelante,Sí,Cortés,"Cuauhtémoc, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",15.665483,-92.003579,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
37,2017,Hombre,50,Sí,Sí,Gracias a Dios,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Huixtla , Chiapas","Huixtla , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,16.2371385,-93.8986279,15.137663,-92.46591889999999,15.137663,-92.46591889999999,16.2371385,-93.8986279
38,2017,Hombre,29,Aprobó de básicos-secundaria en adelante,No,Colón,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Arriaga , Chiapas","Arriaga , Chiapas","Arriaga, Chiapas",14.679726,-92.150326,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279,16.2371385,-93.8986279
39,2017,Mujer,42,Sí,No,Copan,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,4000,El Salvador,Mexico,"Tuxtla Gutiérrez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,16.7516009,-93.1029939,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
40,2017,Hombre,23,Aprobó de básicos-secundaria en adelante,No,Islas de la Bahía,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Coyoacán , Distrito Federal","Monterrey , Nuevo León","Monterrey , Nuevo León","Monterrey, Nuevo León",14.679726,-92.150326,19.3437444,-99.1561883,25.6866142,-100.3161126,25.6866142,-100.3161126,25.6866142,-100.3161126
41,2017,Mujer,43,Aprobó de básicos-secundaria en adelante,No,Islas de la Bahía,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,3000,El Salvador,Mexico,"Tuxtla Gutiérrez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Acayucan , Veracruz de Ignacio de la Llave","Acayucan, Veracruz de Ignacio de la Llave",14.679726,-92.150326,16.7516009,-93.1029939,17.949192,-94.91459739999999,17.949192,-94.91459739999999,17.949192,-94.91459739999999
42,2017,Hombre,25,Aprobó de básicos-secundaria en adelante,Sí,Copan,"Ciudad Hidalgo, Chiapas",1,Autobús o camioneta,4000,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Tuxtla Gutiérrez , Chiapas","Tuxtla Gutiérrez , Chiapas","Tuxtla Gutiérrez, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.7516009,-93.1029939,16.7516009,-93.1029939,16.7516009,-93.1029939
